5116,1000,15680,1000,4764,1000,4553,1000,66685,1000,13253,1000
5017,1000,15437,1000,5120,1000,4631,1000,72138,1000,12511,1000
4887,1000,14777,1000,4914,1000,4472,1000,66862,1000,13277,1000
4878,1000,14469,1000,5043,1000,4280,1000,70737,1000,12523,1000
5219,1000,14367,1000,5225,1000,4679,1000,70348,1000,13055,1000
4756,1000,14570,1000,5223,1000,4648,1000,68664,1000,13333,1000
5081,1000,15088,1000,4927,1000,4576,1000,71639,1000,12141,1000
5109,1000,14884,1000,4809,1000,4469,1000,67590,1000,13032,1000
5209,1000,15400,1000,4932,1000,4611,1000,72289,1000,12995,1000
4913,1000,15330,1000,4849,1000,4301,1000,68266,1000,13236,1000
4780,1000,14378,1000,4920,1000,4677,1000,70939,1000,12177,1000
4814,1000,15610,1000,5201,1000,4575,1000,67549,1000,13076,1000
4838,1000,15679,1000,4829,1000,4329,1000,66849,1000,12158,1000
4952,1000,14471,1000,4941,1000,4588,1000,66615,1000,13007,1000
4903,1000,15356,1000,5233,1000,4449,1000,71356,1000,13228,1000
5234,1000,15039,1000,4896,1000,4459,1000,68335,1000,12630,1000
4788,1000,14737,1000,5057,1000,4424,1000,67777,1000,12138,1000
4838,1000,14638,1000,4777,1000,4299,1000,67521,1000,12807,1000
4765,1000,15121,1000,5140,1000,4663,1000,67285,1000,12445,1000
5201,1000,15428,1000,5006,1000,4601,1000,72211,1000,13137,1000
5083,1000,14715,1000,4876,1000,4707,1000,73136,1000,12178,1000
4843,1000,14352,1000,4877,1000,4402,1000,69851,1000,12669,1000
5161,1000,15658,1000,5119,1000,4677,1000,67298,1000,12961,1000
5180,1000,14914,1000,4907,1000,4497,1000,72331,1000,13074,1000
4801,1000,14405,1000,4881,1000,4512,1000,67420,1000,12239,1000
5066,1000,15600,1000,4819,1000,4367,1000,71975,1000,12830,1000
4934,1000,15147,1000,5031,1000,4548,1000,71068,1000,12798,1000
5120,1000,15651,1000,5100,1000,4715,1000,67766,1000,12843,1000
5035,1000,15431,1000,4925,1000,4418,1000,67666,1000,12280,1000
5119,1000,15512,1000,4786,1000,4614,1000,69979,1000,13140,1000
5173,1000,15206,1000,4833,1000,4676,1000,70625,1000,12173,1000
4982,1000,15477,1000,4787,1000,4475,1000,72754,1000,13130,1000
5172,1000,14646,1000,5008,1000,4719,1000,66696,1000,12322,1000
4946,1000,14793,1000,4971,1000,4600,1000,67154,1000,13258,1000
5167,1000,15506,1000,4877,1000,4357,1000,72294,1000,12191,1000
4751,1000,15006,1000,5045,1000,4620,1000,72668,1000,12518,1000
4888,1000,15438,1000,5070,1000,4578,1000,71572,1000,12509,1000
5129,1000,15605,1000,5010,1000,4287,1000,70859,1000,12529,1000
4805,1000,15396,1000,4861,1000,4378,1000,69002,1000,13166,1000
4961,1000,15109,1000,5037,1000,4406,1000,68771,1000,12897,1000
4875,1000,15455,1000,5236,1000,4552,1000,72209,1000,12319,1000
5124,1000,15376,1000,5155,1000,4678,1000,71644,1000,12226,1000
4990,1000,15479,1000,4869,1000,4618,1000,67800,1000,12332,1000
